Date,Open,High,Low,Close,Adj Close,Volume
2011-03-16,61.663933,62.773430,61.497887,61.837528,61.837528,998800
2011-03-17,62.713051,62.728146,60.463863,60.539341,60.539341,1177200
2011-03-18,61.037483,61.882813,60.078938,61.746956,61.746956,2582700
2011-03-21,62.192265,62.237553,60.131771,60.199699,60.199699,947900
2011-03-22,60.177055,60.260078,58.584511,58.969437,58.969437,1506600
2011-03-23,58.712818,59.324177,58.033535,59.248699,59.248699,774100
2011-03-24,59.324177,60.871433,58.720367,60.569530,60.569530,577500
2011-03-25,60.622364,61.845078,59.746841,60.252533,60.252533,484400
2011-03-28,60.494053,61.263912,59.384556,59.475128,59.475128,372700
2011-03-29,59.392105,60.569530,58.750557,60.569530,60.569530,412500
2011-03-30,61.037483,63.067787,60.577080,62.864002,62.864002,499900
2011-03-31,62.728146,63.558384,61.694122,62.380955,62.380955,508000
2011-04-01,62.539455,63.271572,61.331841,61.596004,61.596004,540400
2011-04-04,61.694122,62.290386,60.041199,60.343102,60.343102,384900
2011-04-05,60.260078,61.407314,59.414745,60.335556,60.335556,408300
2011-04-06,60.788410,61.362030,59.565701,60.328007,60.328007,343300
2011-04-07,60.048744,61.324291,59.565701,60.267628,60.267628,350600
2011-04-08,60.305363,60.577080,58.493938,59.037369,59.037369,465700
2011-04-11,59.641174,59.799675,58.826035,59.075104,59.075104,289900
2011-04-12,58.524128,59.663818,58.524128,59.580795,59.580795,651700
2011-04-13,59.648724,59.678913,58.599606,58.856224,58.856224,633600
2011-04-14,58.652439,59.120392,58.131653,59.052464,59.052464,311100
2011-04-15,59.293987,59.384556,58.471298,59.241154,59.241154,472900
2011-04-18,58.471298,59.392105,57.361797,59.188320,59.188320,629200
2011-04-19,59.143032,59.422295,58.358082,58.946796,58.946796,382400
2011-04-20,59.905342,62.388504,59.905342,62.380955,62.380955,831000
2011-04-21,62.116791,62.373409,61.279007,62.116791,62.116791,569800
2011-04-25,62.403599,62.833813,61.611099,61.920551,61.920551,395900
2011-04-26,62.109241,63.965954,61.807339,63.837643,63.837643,565700
2011-04-27,64.094261,65.701904,64.086716,65.679260,65.679260,596900
2011-04-28,65.973618,66.162308,65.211311,65.860405,65.860405,377400
2011-04-29,66.041542,66.041542,64.758453,64.886765,64.886765,1406100
2011-05-02,65.181114,65.452827,63.233837,63.535740,63.535740,523200
2011-05-03,57.942963,58.373177,56.856110,57.271229,57.271229,2385900
2011-05-04,57.165562,58.373177,56.795727,58.229774,58.229774,737200
2011-05-05,57.610870,59.105297,57.271229,58.931702,58.931702,631000
2011-05-06,59.399651,59.965721,58.531677,58.924152,58.924152,390800
2011-05-09,59.060009,59.060009,57.512753,58.116558,58.116558,476300
2011-05-10,58.652439,59.610985,58.380726,59.475128,59.475128,541400
2011-05-11,59.369461,60.124222,57.844845,58.478844,58.478844,676200
2011-05-12,58.743011,59.610985,58.244869,59.180771,59.180771,492700
2011-05-13,59.505318,59.618534,57.875034,58.139202,58.139202,418100
2011-05-16,58.056179,58.486393,56.622135,56.878754,56.878754,520100
2011-05-17,56.893848,57.384441,56.365513,56.757992,56.757992,394100
2011-05-18,56.531563,57.346703,56.063610,57.248585,57.248585,538500
2011-05-19,56.373062,56.607037,54.629566,55.746613,55.746613,978600
2011-05-20,55.829636,55.829636,53.920090,54.372948,54.372948,1219300
2011-05-23,53.459686,54.440876,53.444592,54.214447,54.214447,553900
2011-05-24,54.123875,54.342758,52.810593,52.863426,52.863426,667200
2011-05-25,52.470951,53.278545,52.078476,53.014378,53.014378,620200
2011-05-26,52.712475,53.308735,52.531330,53.014378,53.014378,442200
2011-05-27,52.886070,53.557804,52.886070,53.459686,53.459686,354200
2011-05-31,53.587997,54.154068,52.901165,53.587997,53.587997,693000
2011-06-01,53.127594,53.678566,51.519951,51.580334,51.580334,699200
2011-06-02,51.512405,52.018093,50.712360,51.542595,51.542595,779900
2011-06-03,50.621788,51.542595,50.334980,50.485931,50.485931,662300
2011-06-06,50.289692,50.787834,49.995335,50.199120,50.199120,549700
2011-06-07,50.274597,50.946335,50.214218,50.259502,50.259502,482900
2011-06-08,50.372715,50.546310,49.927406,50.153835,50.153835,436100
2011-06-09,50.380264,51.535046,49.927406,50.908596,50.908596,558000
2011-06-10,51.301071,51.806763,50.093456,51.587879,51.587879,591300
2011-06-13,51.346355,55.776802,51.346355,54.320114,54.320114,1000800
2011-06-14,54.689945,55.542828,53.942734,53.965378,53.965378,715600
2011-06-15,53.542709,53.542709,51.723736,51.806763,51.806763,574600
2011-06-16,51.761475,53.965378,51.761475,53.859711,53.859711,746400
2011-06-17,55.240921,56.727798,54.388042,55.867374,55.867374,1706200
2011-06-20,55.920204,57.278774,55.580563,56.705158,56.705158,573500
2011-06-21,56.795727,57.022156,55.172993,55.482445,55.482445,373100
2011-06-22,55.361683,55.776802,53.512520,53.595543,53.595543,475300
2011-06-23,53.512520,54.614471,52.833237,53.965378,53.965378,528100
2011-06-24,54.033306,54.342758,52.372833,52.463402,52.463402,804000
2011-06-27,52.252071,53.376663,52.101116,53.097401,53.097401,303800
2011-06-28,53.195522,53.791782,51.512405,53.210617,53.210617,540200
2011-06-29,53.203068,53.723854,52.320000,52.599258,52.599258,534100
2011-06-30,52.825687,53.950279,52.614353,53.920090,53.920090,580000
2011-07-01,53.625732,54.674850,52.569069,54.440876,54.440876,552000
2011-07-05,54.146519,54.342758,53.278545,53.414402,53.414402,295900
2011-07-06,53.399307,54.614471,53.399307,53.580448,53.580448,446200
2011-07-07,54.018211,56.448540,53.776688,56.018326,56.018326,530200
2011-07-08,55.097519,56.607037,55.082420,56.365513,56.365513,448400
2011-07-11,55.746613,56.123993,54.403137,54.750328,54.750328,385700
2011-07-12,55.806992,60.380840,54.984303,56.342873,56.342873,937200
