Date,wagner,oil,mario,pokemon,gold,valentino,romeo
19710216,0,3.6,0,0,40.62,0,35000
19710217,0,3.6,0,0,40.62,0,35000
19710218,0,3.6,0,0,40.62,0,35000
19710219,0,3.6,0,0,40.62,0,35000
19710222,0,3.6,0,0,40.62,0,35000
19710223,0,3.6,0,0,40.62,0,35000
19710224,0,3.6,0,0,40.62,0,35000
19710225,0,3.6,0,0,40.62,0,35000
19710226,0,3.6,0,0,40.62,0,35000
19710301,0,3.6,0,0,40.62,0,35000
19710302,0,3.6,0,0,40.62,0,35000
19710303,0,3.6,0,0,40.62,0,35000
19710304,0,3.6,0,0,40.62,0,35000
19710305,0,3.6,0,0,40.62,0,35000
19710308,0,3.6,0,0,40.62,0,35000
19710309,0,3.6,0,0,40.62,0,35000
19710310,0,3.6,0,0,40.62,0,35000
19710311,0,3.6,0,0,40.62,0,35000
19710312,0,3.6,0,0,40.62,0,35000
19710315,0,3.6,0,0,40.62,0,35000
19710316,0,3.6,0,0,40.62,0,35000
19710317,0,3.6,0,0,40.62,0,35000
19710318,0,3.6,0,0,40.62,0,35000
19710319,0,3.6,0,0,40.62,0,35000
19710322,0,3.6,0,0,40.62,0,35000
19710323,0,3.6,0,0,40.62,0,35000
19710324,0,3.6,0,0,40.62,0,35000
19710325,0,3.6,0,0,40.62,0,35000
19710326,0,3.6,0,0,40.62,0,35000
19710329,0,3.6,0,0,40.62,0,35000
19710330,0,3.6,0,0,40.62,0,35000
19710331,0,3.6,0,0,40.62,0,35000
19710401,0,3.6,0,0,40.62,0,35000
19710402,0,3.6,0,0,40.62,0,35000
19710405,0,3.6,0,0,40.62,0,35000
19710406,0,3.6,0,0,40.62,0,35000
19710407,0,3.6,0,0,40.62,0,35000
19710408,0,3.6,0,0,40.62,0,35000
19710412,0,3.6,0,0,40.62,0,35000
19710413,0,3.6,0,0,40.62,0,35000
19710414,0,3.6,0,0,40.62,0,35000
19710415,0,3.6,0,0,40.62,0,35000
19710416,0,3.6,0,0,40.62,0,35000
19710419,0,3.6,0,0,40.62,0,35000
19710420,0,3.6,0,0,40.62,0,35000
19710421,0,3.6,0,0,40.62,0,35000
19710422,0,3.6,0,0,40.62,0,35000
19710423,0,3.6,0,0,40.62,0,35000
19710426,0,3.6,0,0,40.62,0,35000
19710427,0,3.6,0,0,40.62,0,35000
19710428,0,3.6,0,0,40.62,0,35000
19710429,0,3.6,0,0,40.62,0,35000
19710430,0,3.6,0,0,40.62,0,35000
19710503,0,3.6,0,0,40.62,0,35000
19710504,0,3.6,0,0,40.62,0,35000
19710505,0,3.6,0,0,40.62,0,35000
19710506,0,3.6,0,0,40.62,0,35000
19710507,0,3.6,0,0,40.62,0,35000
19710510,0,3.6,0,0,40.62,0,35000
19710511,0,3.6,0,0,40.62,0,35000
19710512,0,3.6,0,0,40.62,0,35000
19710513,0,3.6,0,0,40.62,0,35000
19710514,0,3.6,0,0,40.62,0,35000
19710517,0,3.6,0,0,40.62,0,35000
19710518,0,3.6,0,0,40.62,0,35000
19710519,0,3.6,0,0,40.62,0,35000
19710520,0,3.6,0,0,40.62,0,35000
19710521,0,3.6,0,0,40.62,0,35000
19710524,0,3.6,0,0,40.62,0,35000
19710525,0,3.6,0,0,40.62,0,35000
19710526,0,3.6,0,0,40.62,0,35000
19710527,0,3.6,0,0,40.62,0,35000
19710528,0,3.6,0,0,40.62,0,35000
19710601,0,3.6,0,0,40.62,0,35000
19710602,0,3.6,0,0,40.62,0,35000
19710603,0,3.6,0,0,40.62,0,35000
19710604,0,3.6,0,0,40.62,0,35000
19710607,0,3.6,0,0,40.62,0,35000
19710608,0,3.6,0,0,40.62,0,35000
19710609,0,3.6,0,0,40.62,0,35000
19710610,0,3.6,0,0,40.62,0,35000
19710611,0,3.6,0,0,40.62,0,35000
